"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","urls/2/display_url","urls/2/expanded_url","urls/2/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","user_mentions/5/id_str","user_mentions/5/name","user_mentions/5/screen_name"
"1593777370678206466","2022-11-19T01:25:10.000Z","0","Fundamentals of Predictive Text Mining (Texts in Computer Science) GRMMKQY

https://t.co/2j8rUvmtwq https://t.co/5aXLODaVAa",,,,,,,,,,,,,,,,,,,,,,,,,,"1593777370678206466","https://pbs.twimg.com/media/Fh48EICVEAAY-89.jpg","photo",,,,,,,"0","0","https://twitter.com/bruen71/status/1593777370678206466","amazon.com/dp/144716749X?…","https://www.amazon.com/dp/144716749X?tag=wake0d-20","https://t.co/2j8rUvmtwq",,,,,,,,,,,,,,,,,,,,,,,,
"1593997394684755968","2022-11-19T15:59:28.000Z","4","Awesome strategies for our humanities courses like using- text mining or competitive antedating! This session is ❤️! Thank you @CTYJohnsHopkins ! #NAGC22 https://t.co/GiKdP5UVMM","NAGC22",,,,,,,,,,,,,,,,,,,,,,,,,"1593997394684755968","https://pbs.twimg.com/media/Fh8EK8cXEAAkspu.jpg","photo","https://pbs.twimg.com/media/Fh8ELZFXwAMWuxV.jpg","photo",,,,,"1","0","https://twitter.com/LwebbLakota/status/1593997394684755968",,,,,,,,,,"2296326144","Johns Hopkins CTY","CTYJohnsHopkins",,,,,,,,,,,,,,,
"1594072394762575874","2022-11-19T20:57:30.000Z","0","meaning of life is number 42",,,,,,,,,,,,,,,,,,,,,,,,,,"1594072394762575874",,,,,,,,,"0","0","https://twitter.com/TextMiningBot/status/1594072394762575874",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1594117827740332034","2022-11-19T23:58:02.000Z","2","Brisbane Data, Power BI and AI Bootcamp speaker Jen Gianoulis will be giving a workshop on ""Text Mining Jane Austen with Power BI and R.""

Grab your free ticket to the event:
https://t.co/F3JQUl3sLn 

#Azure #Data #AI #ArtificialIntelligence #BrisbaneBootcamp #PowerBI https://t.co/0NICXtGF3f","Azure","Data","AI","ArtificialIntelligence","BrisbaneBootcamp","PowerBI",,,,,,,,,,,,,,,,,,,,"1594117827740332034","https://pbs.twimg.com/media/Fh9xtzCXgAAMwgP.jpg","photo",,,,,,,"0","4","https://twitter.com/techtalkcorner/status/1594117827740332034","buff.ly/2nW0NYn","https://buff.ly/2nW0NYn","https://t.co/F3JQUl3sLn",,,,,,,,,,,,,,,,,,,,,,,,
"1594133048995459072","2022-11-20T00:58:31.000Z","0","this is a possible tweet",,,,,,,,,,,,,,,,,,,,,,,,,,"1594133048995459072",,,,,,,,,"0","0","https://twitter.com/TextMiningBot/status/1594133048995459072",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1594147784889769984","2022-11-20T01:57:04.000Z","0","It's a Tweet!",,,,,,,,,,,,,,,,,,,,,,,,,,"1594147784889769984",,,,,,,,,"0","0","https://twitter.com/TextMiningBot/status/1594147784889769984",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1594208240249712641","2022-11-20T05:57:18.000Z","0","this is an example tweet",,,,,,,,,,,,,,,,,,,,,,,,,,"1594208240249712641",,,,,,,,,"0","0","https://twitter.com/TextMiningBot/status/1594208240249712641",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1594224431764713473","2022-11-20T07:01:38.000Z","0","this is your next tweet",,,,,,,,,,,,,,,,,,,,,,,,,,"1594224431764713473",,,,,,,,,"0","0","https://twitter.com/TextMiningBot/status/1594224431764713473",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1594240132671864832","2022-11-20T08:04:01.000Z","0","or, maybe, a possible badger",,,,,,,,,,,,,,,,,,,,,,,,,,"1594240132671864832",,,,,,,,,"0","0","https://twitter.com/TextMiningBot/status/1594240132671864832",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1594247273508048896","2022-11-20T08:32:24.000Z","0","Python Text Mining: Perform Text Processing, Word Embedding, Text Classification and Machine Translation (English Edition) NHGIV3Q

https://t.co/pTZH2Vda8U https://t.co/kEA8FyKo1h",,,,,,,,,,,,,,,,,,,,,,,,,,"1594247273508048896","https://pbs.twimg.com/media/Fh_nbo1WAAc67WU.jpg","photo",,,,,,,"0","0","https://twitter.com/LianaDouglas6/status/1594247273508048896","amazon.com/dp/9389898781?…","https://www.amazon.com/dp/9389898781?tag=sarasota03-20","https://t.co/pTZH2Vda8U",,,,,,,,,,,,,,,,,,,,,,,,
